date,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,arr_cancelled,arr_diverted,total_delay,delay_ratio,cancel_ratio
2024-01-01,2024,1,PT,Piedmont Airlines,BOS,"Boston, MA: Logan International",108,19,4,0,1970.0,0.17592592592592593,0.037037037037037035
2024-01-01,2024,1,PT,Piedmont Airlines,BTV,"Burlington, VT: Burlington International",2,1,0,0,108.0,0.5,0.0
2024-01-01,2024,1,PT,Piedmont Airlines,BUF,"Buffalo, NY: Buffalo Niagara International",34,2,3,0,122.0,0.058823529411764705,0.08823529411764706
2024-01-01,2024,1,PT,Piedmont Airlines,CAE,"Columbia, SC: Columbia Metropolitan",143,12,2,0,697.0,0.08391608391608392,0.013986013986013986
2024-01-01,2024,1,PT,Piedmont Airlines,CHA,"Chattanooga, TN: Lovell Field",93,18,0,0,1375.0,0.1935483870967742,0.0
2024-01-01,2024,1,PT,Piedmont Airlines,CHO,"Charlottesville, VA: Charlottesville Albemarle",204,32,2,1,2133.0,0.1568627450980392,0.00980392156862745
2024-01-01,2024,1,PT,Piedmont Airlines,CLE,"Cleveland, OH: Cleveland-Hopkins International",61,10,1,0,1403.0,0.16393442622950818,0.01639344262295082
2024-01-01,2024,1,PT,Piedmont Airlines,CLT,"Charlotte, NC: Charlotte Douglas International",2645,412,47,11,39316.0,0.155765595463138,0.01776937618147448
2024-01-01,2024,1,PT,Piedmont Airlines,CMH,"Columbus, OH: John Glenn Columbus International",7,1,0,0,31.0,0.14285714285714285,0.0
2024-01-01,2024,1,PT,Piedmont Airlines,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",30,4,1,0,359.0,0.13333333333333333,0.03333333333333333
2024-01-01,2024,1,PT,Piedmont Airlines,DSM,"Des Moines, IA: Des Moines International",12,2,1,0,397.0,0.16666666666666666,0.08333333333333333
2024-01-01,2024,1,PT,Piedmont Airlines,ERI,"Erie, PA: Erie International/Tom Ridge Field",62,15,2,0,1039.0,0.24193548387096775,0.03225806451612903
2024-01-01,2024,1,PT,Piedmont Airlines,EVV,"Evansville, IN: Evansville Regional",93,14,2,0,2110.0,0.15053763440860216,0.021505376344086023
2024-01-01,2024,1,PT,Piedmont Airlines,EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",119,8,3,0,296.0,0.06722689075630252,0.025210084033613446
2024-01-01,2024,1,PT,Piedmont Airlines,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",116,21,1,0,1084.0,0.1810344827586207,0.008620689655172414
2024-01-01,2024,1,PT,Piedmont Airlines,FLO,"Florence, SC: Florence Regional",62,8,1,0,317.0,0.12903225806451613,0.016129032258064516
2024-01-01,2024,1,PT,Piedmont Airlines,FWA,"Fort Wayne, IN: Fort Wayne International",120,27,3,0,2806.0,0.225,0.025
2024-01-01,2024,1,PT,Piedmont Airlines,GNV,"Gainesville, FL: Gainesville Regional",110,23,1,0,1264.0,0.20909090909090908,0.00909090909090909
2024-01-01,2024,1,PT,Piedmont Airlines,GRR,"Grand Rapids, MI: Gerald R. Ford International",13,4,1,0,329.0,0.3076923076923077,0.07692307692307693
2024-01-01,2024,1,PT,Piedmont Airlines,GSO,"Greensboro/High Point, NC: Piedmont Triad International",67,8,0,0,626.0,0.11940298507462686,0.0
2024-01-01,2024,1,PT,Piedmont Airlines,GSP,"Greer, SC: Greenville-Spartanburg International",14,3,1,0,144.0,0.21428571428571427,0.07142857142857142
2024-01-01,2024,1,PT,Piedmont Airlines,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",61,13,5,0,846.0,0.21311475409836064,0.08196721311475409
2024-01-01,2024,1,PT,Piedmont Airlines,HTS,"Ashland, WV: Tri-State/Milton J. Ferguson Field",69,12,1,1,657.0,0.17391304347826086,0.014492753623188406
2024-01-01,2024,1,PT,Piedmont Airlines,ILM,"Wilmington, NC: Wilmington International",25,4,1,0,202.0,0.16,0.04
2024-01-01,2024,1,PT,Piedmont Airlines,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",93,25,2,0,1670.0,0.26881720430107525,0.021505376344086023
2024-01-01,2024,1,PT,Piedmont Airlines,LYH,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field",120,11,3,3,1042.0,0.09166666666666666,0.025
2024-01-01,2024,1,PT,Piedmont Airlines,MDT,"Harrisburg, PA: Harrisburg International",245,53,3,0,4192.0,0.2163265306122449,0.012244897959183673
2024-01-01,2024,1,PT,Piedmont Airlines,MGM,"Montgomery, AL: Montgomery Regional",62,11,0,0,1272.0,0.1774193548387097,0.0
2024-01-01,2024,1,PT,Piedmont Airlines,MHT,"Manchester, NH: Manchester Boston Regional",82,23,1,0,1748.0,0.2804878048780488,0.012195121951219513
2024-01-01,2024,1,PT,Piedmont Airlines,MKE,"Milwaukee, WI: General Mitchell International",23,2,2,1,197.0,0.08695652173913043,0.08695652173913043
2024-01-01,2024,1,PT,Piedmont Airlines,MOB,"Mobile, AL: Mobile Regional",93,20,0,2,906.0,0.21505376344086022,0.0
2024-01-01,2024,1,PT,Piedmont Airlines,MSN,"Madison, WI: Dane County Regional-Truax Field",13,3,1,0,312.0,0.23076923076923078,0.07692307692307693
2024-01-01,2024,1,PT,Piedmont Airlines,MYR,"Myrtle Beach, SC: Myrtle Beach International",19,1,0,0,17.0,0.05263157894736842,0.0
2024-01-01,2024,1,PT,Piedmont Airlines,OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis",112,14,2,0,1179.0,0.125,0.017857142857142856
2024-01-01,2024,1,PT,Piedmont Airlines,ORD,"Chicago, IL: Chicago O'Hare International",164,37,11,1,4033.0,0.22560975609756098,0.06707317073170732
2024-01-01,2024,1,PT,Piedmont Airlines,ORF,"Norfolk, VA: Norfolk International",30,2,2,1,47.0,0.06666666666666667,0.06666666666666667
2024-01-01,2024,1,PT,Piedmont Airlines,PGV,"Greenville, NC: Pitt Greenville",85,7,2,0,333.0,0.08235294117647059,0.023529411764705882
2024-01-01,2024,1,PT,Piedmont Airlines,PHF,"Newport News/Williamsburg, VA: Newport News/Williamsburg International",117,19,1,0,2767.0,0.1623931623931624,0.008547008547008548
2024-01-01,2024,1,PT,Piedmont Airlines,PHL,"Philadelphia, PA: Philadelphia International",1223,267,42,5,26927.0,0.21831561733442356,0.03434178250204415
2024-01-01,2024,1,PT,Piedmont Airlines,PIT,"Pittsburgh, PA: Pittsburgh International",27,10,1,1,560.0,0.37037037037037035,0.037037037037037035
2024-01-01,2024,1,PT,Piedmont Airlines,PVD,"Providence, RI: Rhode Island Tf Green International",44,9,1,0,1247.0,0.20454545454545456,0.022727272727272728
2024-01-01,2024,1,PT,Piedmont Airlines,PWM,"Portland, ME: Portland International Jetport",51,14,1,0,1037.0,0.27450980392156865,0.0196078431372549
